query_text,start_station,end_station
我要从太乙路去木塔寺西,太乙路,木塔寺西
我在五路口去凤栖原,五路口,凤栖原
坐地铁从北大街到广济街,北大街,广济街
坐地铁从植物园到沣西文化公园,植物园,沣西文化公园
北槐前往秦陵西,北槐,秦陵西
从兴庆公园出发到玉祥门,兴庆公园,玉祥门
我在大差市去幸福林带北,大差市,幸福林带北
我在上林路去边家村,上林路,边家村
我要从欢乐谷去文教园,欢乐谷,文教园
我要从秦宫去北大街,秦宫,北大街
我在常宁宫去常青路,常宁宫,常青路
从龙首原出发到纬一街,龙首原,纬一街
坐地铁从王寺到市图书馆,王寺,市图书馆
从神舟大道出发到三桥,神舟大道,三桥
从航天大道出发到三爻,航天大道,三爻
怎么去电视塔从大唐西市,电视塔,大唐西市
从贺韶到文景山公园,贺韶,文景山公园
从康复路出发到广济街,康复路,广济街
洒金桥前往长鸣路,洒金桥,长鸣路
怎么去青龙寺从玉祥门,青龙寺,玉祥门
我要从安谷去上林路,安谷,上林路
元朔路到桃花潭怎么走,元朔路,桃花潭
坐地铁从兴庆公园到香湖湾,兴庆公园,香湖湾
金光门到青龙寺怎么走,金光门,青龙寺
从香王到月登阁,香王,月登阁
从延兴门到双寨,延兴门,双寨
目的地凤城十二路，起点市图书馆,凤城十二路,市图书馆
坐地铁从边家村到木塔寺,边家村,木塔寺
出发地安谷到达大风阁,安谷,大风阁
目的地大唐芙蓉园，起点龙首原,大唐芙蓉园,龙首原
怎么去洒金桥从市中医医院,洒金桥,市中医医院
坐地铁从钟楼到市中医医院,钟楼,市中医医院
目的地大明宫西，起点国际港务区,大明宫西,国际港务区
我要从万寿路去秦陵西,万寿路,秦陵西
纺六路前往香湖湾,纺六路,香湖湾
延平门前往韩森寨,延平门,韩森寨
目的地西安北站，起点延兴门,西安北站,延兴门
目的地东长安街，起点钟楼,东长安街,钟楼
从丈八一路出发到洪庆,丈八一路,洪庆
坐地铁从植物园到通化门,植物园,通化门
怎么去丈八四路从咸阳西站,丈八四路,咸阳西站
坐地铁从长乐坡到五路口,长乐坡,五路口
从摆旗寨出发到大明宫,摆旗寨,大明宫
从市中医医院出发到沣河森林公园,市中医医院,沣河森林公园
出发地香湖湾到达常宁宫,香湖湾,常宁宫
坐地铁从劳动路到霸城门,劳动路,霸城门
我在劳动路去南稍门,劳动路,南稍门
出发地大明宫到达金滹沱,大明宫,金滹沱
从行政中心到小寨,行政中心,小寨
从皂河到劳动路,皂河,劳动路
目的地省体育馆，起点五路口,省体育馆,五路口
我要从双寨去香王,双寨,香王
出发地边家村到达洪庆,边家村,洪庆
我要从长乐公园去文教园,长乐公园,文教园
我在空港新城去欢乐谷,空港新城,欢乐谷
怎么去米家崖从边家村,米家崖,边家村
从山门口出发到枣园,山门口,枣园
目的地青龙寺，起点月登阁,青龙寺,月登阁
怎么去高桥从边家村,高桥,边家村
长乐坡到大唐芙蓉园怎么走,长乐坡,大唐芙蓉园
从航天城出发到市第三医院,航天城,市第三医院
从枣园到浐河,枣园,浐河
目的地东仪路，起点浐灞中心,东仪路,浐灞中心
出发地香王到达沣河森林公园,香王,沣河森林公园
幸福林带北前往北辰东路,幸福林带北,北辰东路
我在光化门去凤栖原,光化门,凤栖原
航天新城到航天东路怎么走,航天新城,航天东路
从秦汉新城出发到中华西路,秦汉新城,中华西路
出发地文景路到达文教园,文景路,文教园
目的地康复路，起点大唐西市,康复路,大唐西市
目的地光化门，起点米家崖,光化门,米家崖
从港务大道到北池头,港务大道,北池头
文景山公园前往沣西文化公园,文景山公园,沣西文化公园
大差市前往大明宫北,大差市,大明宫北
出发地西窑头到达田王,西窑头,田王
怎么去务庄从吉祥村,务庄,吉祥村
目的地纺织城，起点丈八一路,纺织城,丈八一路
从北池头到幸福林带北,北池头,幸福林带北
怎么去红庙坡从常宁宫,红庙坡,常宁宫
我在延平门去市中医医院,延平门,市中医医院
我在太白南路去石家街,太白南路,石家街
咸宁路前往长陵,咸宁路,长陵
我在秦宫去太白南路,秦宫,太白南路
坐地铁从安谷到甘家寨,安谷,甘家寨
出发地科技路到达凤城九路,科技路,凤城九路
怎么去空港新城从航天大道,空港新城,航天大道
浐河到辛家庙怎么走,浐河,辛家庙
常青路前往航天新城,常青路,航天新城
目的地沣东自贸园，起点红庙坡,沣东自贸园,红庙坡
我在创新港东去贺韶,创新港东,贺韶
目的地翱翔小镇，起点复兴大道,翱翔小镇,复兴大道
我要从贺韶去含元殿,贺韶,含元殿
目的地万寿南路，起点浐灞中心,万寿南路,浐灞中心
坐地铁从纬一街到康复路,纬一街,康复路
开远门到安远门怎么走,开远门,安远门
怎么去卫星测控中心从公园南路,卫星测控中心,公园南路
目的地土门，起点龙首原,土门,龙首原
怎么去安化门从西窑头,安化门,西窑头
洪庆前往开远门,洪庆,开远门
目的地西窑头，起点飞天路,西窑头,飞天路
出发地高桥到达西北工业大学,高桥,西北工业大学
出发地运动公园到达科技二路,运动公园,科技二路
从纺六路到韦曲南,纺六路,韦曲南
怎么去马腾空从欢乐谷,马腾空,欢乐谷
我在高桥去五路口,高桥,五路口
王寺前往延平门,王寺,延平门
怎么去延平门从纬一街,延平门,纬一街
怎么去翱翔小镇从摆旗寨,翱翔小镇,摆旗寨
怎么去寒窑从国际港务区,寒窑,国际港务区
白家口前往西安站,白家口,西安站
我在月登阁去创新港,月登阁,创新港
出发地钟楼到达胡家庙,钟楼,胡家庙
从太乙路到文教园,太乙路,文教园
怎么去中华西路从丈八四路,中华西路,丈八四路
秦宫到太白南路怎么走,秦宫,太白南路
怎么去石家街从沣东自贸园,石家街,沣东自贸园
山门口前往凤栖原,山门口,凤栖原
怎么去山门口从寒窑,山门口,寒窑
怎么去通化门从红庙坡,通化门,红庙坡
鱼化寨前往安远门,鱼化寨,安远门
我在大雁塔去大唐芙蓉园,大雁塔,大唐芙蓉园
目的地电视塔，起点西安北站,电视塔,西安北站
从北辰到植物园,北辰,植物园
目的地科技路，起点摆旗寨,科技路,摆旗寨
出发地韩森寨到达科技二路,韩森寨,科技二路
龙首原到白马河怎么走,龙首原,白马河
我要从航天新城去国际港务区,航天新城,国际港务区
太乙路前往西安工大·武德路,太乙路,西安工大·武德路
坐地铁从体育场到小寨,体育场,小寨
出发地西安站到达南稍门,西安站,南稍门
我要从大唐芙蓉园去吉祥村,大唐芙蓉园,吉祥村
我要从洒金桥去米家崖,洒金桥,米家崖
从沣河森林公园出发到钟楼,沣河森林公园,钟楼
怎么去北苑从长乐坡,北苑,长乐坡
目的地纺三路，起点吉祥村,纺三路,吉祥村
目的地元朔路，起点灞柳二路,元朔路,灞柳二路
从木塔寺出发到运动公园,木塔寺,运动公园
我要从三桥去新筑,三桥,新筑
坐地铁从太乙路到陈阳寨,太乙路,陈阳寨
坐地铁从东等驾坡到郭杜西,东等驾坡,郭杜西
坐地铁从植物园到航天大道,植物园,航天大道
交通大学·兴庆宫前往高桥,交通大学·兴庆宫,高桥
坐地铁从常宁宫到香王,常宁宫,香王
半坡到曲江池西怎么走,半坡,曲江池西
我在劳动路去市中医医院,劳动路,市中医医院
出发地北辰到达纬一街,北辰,纬一街
五路口前往石桥立交,五路口,石桥立交
出发地劳动路到达华清池,劳动路,华清池
目的地万寿路，起点北辰东路,万寿路,北辰东路
汉城南路前往通化门,汉城南路,通化门
沣西文化公园前往红庙坡,沣西文化公园,红庙坡
怎么去市第三医院从大差市,市第三医院,大差市
寒窑前往摆旗寨,寒窑,摆旗寨
山门口前往余家寨,山门口,余家寨
从凤栖原出发到马腾空,凤栖原,马腾空
出发地奥体中心到达通化门,奥体中心,通化门
我在体育场去贺韶,体育场,贺韶
目的地上林路，起点缪家寨,上林路,缪家寨
怎么去中华西路从白马河,中华西路,白马河
目的地三爻，起点丈六,三爻,丈六
桃花潭前往航天新城,桃花潭,航天新城
我要从辛家庙去大雁塔,辛家庙,大雁塔
怎么去何家营从延平门,何家营,延平门
从土门出发到沣西文化公园,土门,沣西文化公园
坐地铁从文教园到沣河森林公园,文教园,沣河森林公园
我在航天新城去青龙寺,航天新城,青龙寺
我在霸城门去广泰门,霸城门,广泰门
洪庆前往马腾空,洪庆,马腾空
从纬一街出发到延兴门,纬一街,延兴门
目的地公园南路，起点艺术中心,公园南路,艺术中心
我在长乐公园去艺术中心,长乐公园,艺术中心
目的地桃花潭，起点安定门,桃花潭,安定门
西安工大·武德路前往长鸣路,西安工大·武德路,长鸣路
出发地贺韶到达白家口,贺韶,白家口
出发地建筑科技大学·李家村到达西安国际医学中心,建筑科技大学·李家村,西安国际医学中心
目的地北槐，起点木塔寺西,北槐,木塔寺西
坐地铁从何家营到西等驾坡,何家营,西等驾坡
从市中医医院到东仪路,市中医医院,东仪路
皂河到东等驾坡怎么走,皂河,东等驾坡
从贺韶到文景山公园,贺韶,文景山公园
青龙寺到长乐门怎么走,青龙寺,长乐门
创新港东前往红庙坡,创新港东,红庙坡
出发地木塔寺到达交通大学·兴庆宫,木塔寺,交通大学·兴庆宫
北槐前往景曜门,北槐,景曜门
含元殿到奥体中心怎么走,含元殿,奥体中心
电视塔前往鱼化寨,电视塔,鱼化寨
怎么去大明宫从安化门,大明宫,安化门
出发地三爻到达大明宫北,三爻,大明宫北
从田王到三桥,田王,三桥
我要从太乙路去东仪路,太乙路,东仪路
我在咸宁路去艺术中心,咸宁路,艺术中心
出发地西窑头到达南稍门,西窑头,南稍门
我在丰庆公园去东长安街,丰庆公园,东长安街
纺六路前往东马坊,纺六路,东马坊
怎么去欢乐谷从新寺,欢乐谷,新寺
出发地延兴门到达市第三医院,延兴门,市第三医院
我要从飞天路去大差市,飞天路,大差市
目的地市图书馆，起点复兴大道,市图书馆,复兴大道
我要从北大街去文教园,北大街,文教园
秦陵西到白马河怎么走,秦陵西,白马河
青龙寺到元朔路怎么走,青龙寺,元朔路
朝阳门前往大风阁,朝阳门,大风阁
桃花潭前往甘家寨,桃花潭,甘家寨
目的地长乐门，起点机场西(T1/T2/T3),长乐门,机场西(T1/T2/T3)
从浐灞中心出发到玉祥门,浐灞中心,玉祥门
我要从体育场去丈八北路,体育场,丈八北路
从三桥出发到公园南路,三桥,公园南路
目的地复兴大道，起点新寺,复兴大道,新寺
我在广泰门去大明宫,广泰门,大明宫
东长安街到阿房宫南怎么走,东长安街,阿房宫南
我要从万寿路去机场T5,万寿路,机场T5
从飞天路出发到西安站,飞天路,西安站
出发地甘家寨到达大唐芙蓉园,甘家寨,大唐芙蓉园
我要从浐灞中心去含元殿,浐灞中心,含元殿
从文艺路出发到桃花潭,文艺路,桃花潭
从体育场出发到枣园,体育场,枣园
东三岔前往开远门,东三岔,开远门
出发地含元殿到达安远门,含元殿,安远门
坐地铁从陈阳寨到香王,陈阳寨,香王
从王寺到鱼化寨,王寺,鱼化寨
出发地大唐西市到达西等驾坡,大唐西市,西等驾坡
从新寺出发到科技二路,新寺,科技二路
北苑到陈阳寨怎么走,北苑,陈阳寨
景曜门前往缪家寨,景曜门,缪家寨
出发地通化门到达余家寨,通化门,余家寨
劳动路前往半坡,劳动路,半坡
坐地铁从大唐西市到景曜门,大唐西市,景曜门
坐地铁从大风阁到康复路,大风阁,康复路
国际港务区到木塔寺怎么走,国际港务区,木塔寺
洪庆前往大明宫西,洪庆,大明宫西
怎么去浐灞中心从文教园,浐灞中心,文教园
从建筑科技大学·李家村到浐河,建筑科技大学·李家村,浐河
坐地铁从丈八北路到汉城南路,丈八北路,汉城南路
我要从鱼化寨去北辰东路,鱼化寨,北辰东路
从枣园到文景路,枣园,文景路
秦汉新城前往开远门,秦汉新城,开远门
目的地大明宫西，起点电视塔,大明宫西,电视塔
出发地缪家寨到达新开门,缪家寨,新开门
科技路前往大唐不夜城,科技路,大唐不夜城
目的地建筑科技大学·李家村，起点电视塔,建筑科技大学·李家村,电视塔
万寿路到浐河怎么走,万寿路,浐河
浐灞中心前往含元殿,浐灞中心,含元殿
出发地长陵到达摆旗寨,长陵,摆旗寨
白马河到皂河怎么走,白马河,皂河
从米家崖到青龙寺,米家崖,青龙寺
我要从青龙寺去大风阁,青龙寺,大风阁
东长安街前往大明宫,东长安街,大明宫
艺术中心到阿房宫南怎么走,艺术中心,阿房宫南
从大唐不夜城出发到吉祥村,大唐不夜城,吉祥村
从咸阳西站出发到玉祥门,咸阳西站,玉祥门
西窑头前往石桥立交,西窑头,石桥立交
我在沣西文化公园去丈八北路,沣西文化公园,丈八北路
目的地北池头，起点金滹沱,北池头,金滹沱
新筑到咸阳西站怎么走,新筑,咸阳西站
怎么去植物园从贺韶,植物园,贺韶
从奥体中心出发到航天大道,奥体中心,航天大道
从朝阳门出发到北槐,朝阳门,北槐
新寺前往沣河森林公园,新寺,沣河森林公园
我在卫星测控中心去辛家庙,卫星测控中心,辛家庙
坐地铁从石桥立交到霸城门,石桥立交,霸城门
怎么去青龙寺从兴庆公园,青龙寺,兴庆公园
目的地丈八北路，起点北辰东路,丈八北路,北辰东路
出发地运动公园到达白马河,运动公园,白马河
怎么去金滹沱从公园南路,金滹沱,公园南路
文景山公园前往钓台,文景山公园,钓台
怎么去玉祥门从纺六路,玉祥门,纺六路
文教园到北辰怎么走,文教园,北辰
纺织城到香湖湾怎么走,纺织城,香湖湾
坐地铁从东三岔到灞柳二路,东三岔,灞柳二路
我要从木塔寺西去含元殿,木塔寺西,含元殿
从西安国际医学中心到丈八北路,西安国际医学中心,丈八北路
怎么去空港新城从机场T5,空港新城,机场T5
我要从幸福林带北去龙首原,幸福林带北,龙首原
坐地铁从景曜门到北大街,景曜门,北大街
怎么去创新港从土门,创新港,土门
坐地铁从北辰到安远门,北辰,安远门
怎么去光化门从东等驾坡,光化门,东等驾坡
钓台前往复兴大道,钓台,复兴大道
出发地开远门到达香湖湾,开远门,香湖湾
从植物园出发到永宁门,植物园,永宁门
我要从西等驾坡去大唐芙蓉园,西等驾坡,大唐芙蓉园
我要从劳动路去木塔寺西,劳动路,木塔寺西
从凤城九路出发到西安站,凤城九路,西安站
坐地铁从摆旗寨到文景山公园,摆旗寨,文景山公园
坐地铁从保税区到何家营,保税区,何家营
凤城五路到香王怎么走,凤城五路,香王
怎么去沣西文化公园从渭河南,沣西文化公园,渭河南
太乙路到百花村怎么走,太乙路,百花村
我要从理工大曲江校区去陕西中医药大学,理工大曲江校区,陕西中医药大学
出发地大差市到达纺六路,大差市,纺六路
百花村前往白马河,百花村,白马河
目的地金光门，起点机场T5,金光门,机场T5
从太白南路出发到创新港东,太白南路,创新港东
从曲江池西到小寨,曲江池西,小寨
我在文艺路去浐灞中心,文艺路,浐灞中心
秦陵西前往大明宫北,秦陵西,大明宫北
从霸城门出发到新寺,霸城门,新寺
从创新港东出发到广泰门,创新港东,广泰门
目的地丈八北路，起点东仪路,丈八北路,东仪路
我要从金滹沱去石桥立交,金滹沱,石桥立交
出发地永宁门到达纺六路,永宁门,纺六路
从凤城十二路出发到北苑,凤城十二路,北苑
从体育场到何家营,体育场,何家营
从秦汉新城出发到纺三路,秦汉新城,纺三路
从上林路到太乙路,上林路,太乙路
南稍门前往常青路,南稍门,常青路
出发地浐灞中心到达西等驾坡,浐灞中心,西等驾坡
目的地马腾空，起点延平门,马腾空,延平门
丰庆公园到鱼化寨怎么走,丰庆公园,鱼化寨
从复兴大道到紫霞三路,复兴大道,紫霞三路
从米家崖到含元殿,米家崖,含元殿
沣河森林公园到双寨怎么走,沣河森林公园,双寨
坐地铁从大唐西市到何家营,大唐西市,何家营
大唐芙蓉园到西窑头怎么走,大唐芙蓉园,西窑头
我在韩森寨去广济街,韩森寨,广济街
我在双寨去渭河南,双寨,渭河南
从纬一街出发到西安站,纬一街,西安站
坐地铁从石桥立交到何家营,石桥立交,何家营
我要从大明宫去文艺路,大明宫,文艺路
目的地机场T5，起点科技路,机场T5,科技路
怎么去长乐坡从白家口,长乐坡,白家口
我要从丈六去双寨,丈六,双寨
从纺三路出发到交通大学·兴庆宫,纺三路,交通大学·兴庆宫
五路口前往长陵,五路口,长陵
从井上村出发到光化门,井上村,光化门
坐地铁从金光门到纺六路,金光门,纺六路
目的地常宁宫，起点光化门,常宁宫,光化门
出发地景曜门到达钟楼,景曜门,钟楼
出发地安谷到达山门口,安谷,山门口
我要从延平门去阿房宫南,延平门,阿房宫南
从半坡出发到太白南路,半坡,太白南路
我要从北辰去大风阁,北辰,大风阁
从造字台到文景山公园,造字台,文景山公园
我要从东仪路去纺织城,东仪路,纺织城
我在紫霞三路去永宁门,紫霞三路,永宁门
秦宫前往西北工业大学,秦宫,西北工业大学
我在井上村去国际港务区,井上村,国际港务区
高桥到新寺怎么走,高桥,新寺
我要从西窑头去幸福林带北,西窑头,幸福林带北
怎么去三爻从航天城,三爻,航天城
坐地铁从通化门到机场西(T1/T2/T3),通化门,机场西(T1/T2/T3)
西安工大·武德路前往凤城九路,西安工大·武德路,凤城九路
我要从永宁门去新开门,永宁门,新开门
我在三桥去井上村,三桥,井上村
从阿房宫南到凤城十二路,阿房宫南,凤城十二路
目的地纺三路，起点贺韶,纺三路,贺韶
我要从长陵去丈八北路,长陵,丈八北路
出发地文教园到达凤栖原,文教园,凤栖原
坐地铁从科技二路到石家街,科技二路,石家街
出发地沣西文化公园到达月登阁,沣西文化公园,月登阁
我在神舟大道去植物园,神舟大道,植物园
目的地市图书馆，起点新寺,市图书馆,新寺
公园南路到洪庆怎么走,公园南路,洪庆
从甘家寨出发到朝阳门,甘家寨,朝阳门
我在北池头去广济街,北池头,广济街
我要从鱼化寨去陕西中医药大学,鱼化寨,陕西中医药大学
文教园到钟楼怎么走,文教园,钟楼
目的地交通大学·兴庆宫，起点凤城十二路,交通大学·兴庆宫,凤城十二路
从新寺到北辰东路,新寺,北辰东路
从陕西中医药大学到北大街,陕西中医药大学,北大街
怎么去月登阁从长鸣路,月登阁,长鸣路
我要从西安国际医学中心去大明宫,西安国际医学中心,大明宫
坐地铁从航天新城到辛家庙,航天新城,辛家庙
我要从文景路去灞柳二路,文景路,灞柳二路
目的地东马坊，起点东三岔,东马坊,东三岔
我在航天城去文景山公园,航天城,文景山公园
从东仪路到曲江池西,东仪路,曲江池西
怎么去飞天路从韦曲南,飞天路,韦曲南
我要从郭杜西去三桥,郭杜西,三桥
三爻前往万寿南路,三爻,万寿南路
坐地铁从大明宫北到安远门,大明宫北,安远门
我要从南稍门去北池头,南稍门,北池头
出发地月登阁到达贺韶,月登阁,贺韶
